soc_id,us_coding_id,year,category,us_43A,us_43B,us_44A,us_44B,us_45,us_46,us_47,us_48,us_49,us_50,us_51A,us_51B,us_52,us_53,us_54,us_55,us_56,us_57,comment,references,source_coded_data
,6001,1894,1800s–early 1900s,40,40,2,2,100,18,4,16,18,80,6,6,32,40,36,2,NA,8,,,@ALC1985US
,6002,1903,1800s–early 1900s,16,16,8,8,36,2,4,24,2,80,NA,6,32,16,20,2,NA,8,,,@ALC1985US
,6003,1871,1800s–early 1900s,8,24,2,2,4,2,4,NA,2,80,NA,6,32,16,20,2,2,64,,,@ALC1985US
,6004,1866,1800s–early 1900s,8,8,2,2,4,4,4,4,18,80,NA,6,32,24,8,2,2,8,,,@ALC1985US
,6005,1894,1800s–early 1900s,8,16,8,8,38,2,4,16,18,80,NA,4,32,16,16,2,2,8,,,@ALC1985US
,6006,1904,1800s–early 1900s,16,16,4,4,40,4,4,4,2,80,NA,6,16,24,16,2,2,8,,,@ALC1985US
,6007,1919,Black 1910s,24,24,8,8,586,2,198,16,2,16,NA,6,8,16,8,2,NA,64,,,@ALC1985US
,6008,1919,Black 1910s,8,NA,2,8,98,16,134,16,22,80,NA,30,16,24,8,2,NA,64,,,@ALC1985US
,6009,1914,Black 1910s,NA,40,NA,8,NA,NA,150,8,22,80,8,6,8,24,112,2,4,8,,,@ALC1985US
,6010,NA,Black 1910s,8,8,4,4,38,NA,4,NA,6,64,NA,2,32,16,16,2,NA,32,,,@ALC1985US
,6011,NA,Black 1910s,16,16,4,4,12,24,4,16,2,80,14,6,32,16,48,2,NA,2,,,@ALC1985US
,6012,NA,Black 1910s,12,20,4,4,52,48,20,48,2,24,14,14,32,16,24,2,2,64,,,@ALC1985US
,6013,NA,Black 1910s,4,4,4,4,68,4,4,84,18,80,6,6,32,24,36,2,2,2,,,@ALC1985US
,6014,NA,Black 1910s,8,8,8,8,102,16,4,NA,2,24,NA,2,32,16,16,2,NA,64,,,@ALC1985US
,6015,1910,White 1910s,8,24,4,2,38,16,4,16,2,8,NA,2,32,16,16,2,NA,64,,,@ALC1985US
,6016,1919,White 1910s,16,8,8,8,12,10,140,8,2,88,6,22,32,16,8,2,4,32,,,@ALC1985US
,6017,1919,White 1910s,12,12,4,4,6,NA,6,16,2,48,NA,6,32,16,24,2,NA,66,,,@ALC1985US
,6018,1919,White 1910s,16,16,8,8,62,10,220,2,18,80,NA,22,32,24,16,2,2,72,,,@ALC1985US
,6019,1917,White 1910s,NA,16,NA,16,NA,NA,198,12,4,80,NA,22,16,8,32,2,NA,8,,,@ALC1985US
,6020,1911,White 1910s,16,16,8,8,292,18,4,82,2,24,NA,6,32,16,16,2,NA,72,,,@ALC1985US
,6021,1915,White 1910s,16,16,4,4,12,8,196,88,2,80,6,6,32,16,16,2,NA,64,,,@ALC1985US
,6278,1913,White 1910s,8,16,4,4,100,NA,76,16,2,24,NA,2,16,16,48,2,NA,2048,,,@ALC1985US
,6279,1911,White 1910s,16,16,4,4,4,NA,4,16,2,16,NA,6,16,24,64,2,2,2,,,@ALC1985US
,6280,1914,White 1910s,2,4,2,2,4,NA,4,16,2,8,2,2,32,32,8,2,NA,64,,,@ALC1985US
,6318,1919,White 1910s,NA,4,8,8,10,2,84,18,2,24,NA,6,16,16,24,2,NA,4,,,@ALC1985US
,6022,1929,Black 1920s,8,20,16,8,58,10,66,72,28,80,NA,6,8,48,16,2,2,4,,,@ALC1985US
,6023,1926,Black 1920s,8,20,16,16,402,8,82,8,12,90,NA,6,8,4,64,2,NA,16,,,@ALC1985US
