Canto Coding ID,Local_lat:,Local_long:,Region,Division,Subregion,Area,People,Region,Division,Subregion,Area / Kingdom,Culture,Cu_location,Arensberg-Lomax_clusters,Peoplex,C_cid,US Coding ID,Notes,Local_latitude,Local_longitude,society,society_id,Culture_location,US_Culture_name:,Audio_file_id:,Audio_notes:,Duration:,Lomax_source:,Song Title,Genre,Song_notes,Performers,Instruments,Recorded_by,Year,Publisher,Publcation_collection,Repository,Source_notes,Classification_notes,Metadata_notes,,SongTitlecondensed,Metadata_sources
,,,,,,,,,,,,,,,,,6137,,34.76,-87.70,Alabama Black,62423,"Sheffield, AL",AlabamaAA1960s,,,0:02:53,,When a Man Loves a Woman,Soul; Rhythm & Blues,"""When a Man Loves a Woman"" is a song written by Calvin Lewis and Andrew Wright and first recorded by Percy Sledge in 1966 at Norala Sound Studio in Sheffield, Alabama. It made number one on both the Billboard Hot 100 and R&B singles charts","Percy Sledge, vocal; Spooner Oldham, Farfisa organ; Marlin Greene, guitar; Albert ""Junior"" Lowe, double bass; Roger Hawkins, drums",,,1966,Atlantic,"When A Man Loves A Woman, Atlantic 8125",,,,,,WhenaManLovesaWoman,@Atlantic1966WhenAManLovesAWoman@WikiWhenAManLovesAWoman@WikiPercySledge
,,,,,,,,,,,,,,,,,6182,,32.43,-85.71,Alabama Black,62423,"Tuskegee, AL [Recorded in Detroit, MI]",AlabamaAA1970s,,,0:04:40,,Such a Woman,Funk; soul,"Such a Woman is a song from the Commodore's sixth studio album, Natural High, released in 1978. This album was from the group's most successful period in the late 1970s and early 1980s when Lionel Richie was the co-lead singer. ","Commodores: Lionel Richie, vocal, saxophone & keyboards; Thomas McClary, vocal & guitar; Milan Williams, keyboards; Ronald LaPread, bass; William King, trumpet; Walter Orange, drums, percussion & vocal",,,1978,Motown,"Natural High, Motown M7-902R1",,,,,Natural High,NaturalHigh,@Motown1978NaturalHigh @WikiNaturalHigh @WikiCommodores
,,,,,,,,,,,,,,,,,6201,,32.43,-85.71,Alabama Black,62423,"Tuskegee, AL [Recorded in Los Angeles, CA]",AlabamaAA1980s,,,0:04:20,,All Night Long,Calypso; pop; dance pop,"""All Night Long (All Night)"" is a hit single by American singer Lionel Richie from 1983. Taken from his second solo album, Can't Slow Down (1983), it combined Richie's soulful Commodores style with Caribbean influences. This new, more dance music, pop-inspired approach proved popular, as the single reached number one on three Billboard charts (pop, R&B and adult contemporary). The song lyrics were written primarily in English, but Richie has admitted in at least one press interview that ""African"" lyrics in the song, such as ""Tom bo li de say de moi ya,"" and ""Jambo jumbo,"" were in fact made-up gibberish of his own invention.","Lionel Richie, vocal & synthesizer; Greg Phillinganes, synthesizer; Darryl Jones, guitar; Carlos Rios, guitar; Tim May, guitar; Abraham Laboriel, bass; John ""J.R."" Robinson, drums; Paulinho Da Coasta, percussion",,,1982,Motown,"Can't Slow Down, Motown 6059",,,,,Can't Slow Down,CantSlowDown,@Motown1982CantSlowDown @WikiCantSlowDown @WikiLionelRichie @WikiAllNightLong
,,,,,,,,,,,,,,,,,5009,,37.44,-86.74,Appalachia,18349,"Rosine, KY [Recorded in Chicago, IL]",AppalachiaEA1940s,,,0:02:32,,Why Did You Wander?,Bluegrass,"Bill Monroe ""was an American mandolinist, singer, and songwriter, who created the style of music known as bluegrass. Because of this, he is often called the ""Father of Bluegrass""...Key developments occurred in Monroe's music with the addition of Lester Flatt and Earl Scruggs to the Blue Grass Boys in December 1945... The 28 songs recorded by this version of the Blue Grass Boys for Columbia Records in 1946 and 1947 soon became classics of the genre."" (Wikipedia)","Bill Monroe & his Blue Grass Boys: Bill Monroe, mandolin; Chubby Wise, fiddle; Earl Scruggs, banjo; Howard Watts, double bass; Lester Flatt, guitar & vocal",,,1946,Columbia,"The Essential Bill Monroe And His Blue Grass Boys (1945-1949), Columbia C2K 52478",,,,,The Essential Bill Monroe And His Blue Grass Boys (1945-1949),WhyDidYouWander?,@WikiBillMonroe@CCC1992EssentialBillMonroe
,,,,,,,,,,,,,,,,,6215,,36.67,-82.40,Appalachia,18349,"Maces Spring, VA [Recorded in Camden, NJ]",AppalachiaEA1920s,,,0:03:08,,Sweet Fern,Country; folk,"Folk song about a woman who's lover is far away, and she wonders whether he is still faithful to her. She asks a bird ""Sweet Fern"" to fly to him and ""tell him to come back"" to her.","Carter Family: Sara Carter, vocal; Maybelle Carter, steel guitar & vocal; A.P. Carter, vocal",,,1929,Victor,"Sweet Fern / Lulu Wall, Victor V-40126",,,,,Sweet Fern / Lulu Wall,SweetFern,@Victor1929SweetFern@WikiCarterFamily
,,,,,,,,,,,,,,,,,6217,,35.20,-85.92,Appalachia,18349,"Sewanee, TN [Recorded in Memphis, TN]",AppalachiaEA1930s,,,0:02:40,,A New Salty Dog,Country; old time; string band,"When the Allen Brothers switched from Columbia to Victor records after mistakenly being included in Columbia's Race Records series, ""they rerecorded several of the numbers they had done for Columbia, including “Salty Dog Blues” which they renamed “A New Salty Dog.” Lexicographers have not provided a satisfactory account of the meaning and evolution of the phrase “salty dog.” As early as 1785, “salty” meant lecherous (or, literally, salacious); “salt bitch” was a dog in heat. In black slang of the twentieth century the phrase has been used with various implied meanings: sometimes, in the general sense of a sexually active person; other times, in connection with specific kinds of sexual behavior... In lyrics, tune and instrumentation, “A New Salty Dog” is a good example of how much jazz and blues influences could alter string-band music."" (Matteson)","Allen Brothers: Austin Allen, vocal & tenor banjo; Lee Allen, kazoo & guitar",,,1930,Victor,"A New Salty Dog, Victor 23514",,,,,A New Salty Dog,ANewSaltyDog,@Matteson2009SaltyDog@WikiAllenBrothers
,,,,,,,,,,,,,,,,,6220,,37.09,-82.34,Appalachia,18349,"Dickenson Cty, VA [Recorded in Nashville, TN]",AppalachiaEA1950s,,,0:02:43,,The Lonesome River,Bluegrass,"Recorded during the same session as their signature song ""Man of Constant Sorrow,"" ""Lonesome River is another of Carter's classic songs, with fabulous lysrics, a tremendously mournful lead vocal delivery, and powerful hi-baritone/tenor harmony on the chorus."" (Clinch Mountain Echo)","Stanley Brothers: Carter Stanley, vocal & guitar; Ralph Stanely, vocal & banjo; Peewee Lambert, vocal & mandolin",,,1950,Columbia,"The Lonesome River / I'm A Man Of Constant Sorrow, Columbia 20816",,,,,The Lonesome River / I'm A Man Of Constant Sorrow,TheLonesomeRiver,@TruemanNDTheLonesomeRiver@WikiStanleyBrothers
,,,,,,,,,,,,,,,,,6221,,37.92,-81.34,Appalachia,18349,"Clear Creek, WV [Recorded in Westbrook, ME]",AppalachiaEA1950s,,,0:02:38,,John Henry,Bluegrass; historical song; ballad,"""John Henry is an African American folk hero. He is said to have worked as a ""steel-driving man""—a man tasked with hammering a steel drill into rock to make holes for explosives to blast the rock in constructing a railroad tunnel. According to legend, John Henry's prowess as a steel-driver was measured in a race against a steam-powered rock drilling machine, a race that he won only to die in victory with hammer in hand as his heart gave out from stress. The story of John Henry is traditionally told through two types of songs: ballads and ""hammer songs"" (a type of work song), each with wide-ranging and varying lyrics. John Henry is arguably the most popular American folk song."" (Wikipedia) This ballad version by the Lilly Brothers (who were white) exemplifies the bluegrass genre, of which John Henry is a standard.","Lilly Brothers: Everett Lilly, mandolin & vocal; Bea Lilly, guitar; Don Stover, banjo",,,1959,Event,"John Henry / Bring Back My Blue Eyed Boy To Me, Event E-4272",,,,,John Henry / Bring Back My Blue Eyed Boy To Me,JohnHenry,@WikiJohnHenry@WikiLillyBrothers@Event1959LillyBrothersJohnHenry
,,,,,,,,,,,,,,,,,6234,,37.47,-82.39,Appalachia,18349,"Pike Cty, KY",AppalachiaEA1940s,,,0:03:19,,Teardrops Falling in the Snow,Country,"Molly O'Day was a country music singer based in various locations around West Virginia. During the late 1940s she recorded 36 songs for Columbia, including ""Teardrops in the Snow.""","Molly O'Day, vocal",,,1949,Columbia,"Coming Down From God / Teardrops Falling In The Snow, Columbia 20584",,,,,Coming Down From God / Teardrops Falling In The Snow,TeardropsFallingintheSnow,@WikiMollyODay@Goodnite2017MollyODay@Columbia1949TeardropsFallingInTheSnow
,,,,,,,,,,,,,,,,,6241,,35.59,-82.55,Appalachia,18349,"Asheville, NC [Recorded in Atlanta, GA]",AppalachiaEA1920s,,,0:02:44,,Waiting for a Train,Country,"""James Charles Rodgers was an American singer-songwriter and musician who rose to popularity in the late 1920s. Widely regarded as ""the Father of Country Music"", he is best known for his distinctive rhythmic yodeling."" (Wikipedia)","Jimmie Rodgers, vocal",,,1928,Victor,"Blue Yodel No. 4 (California Blues) / Waiting For A Train, Victor V-40014",,,,,Blue Yodel No. 4 (California Blues) / Waiting For A Train,WaitingforaTrain,@WikiJimmieRodgers@WikiWaitingForATrain
,,,,,,,,,,,,,,,,,6252,,36.58,-82.18,Appalachia,18349,"Bristol, TN",AppalachiaEA1950s,,,0:02:34,,Sixteen Tons,Country,"""""Sixteen Tons"" is a song written by Merle Travis about a coal miner, based on life in mines in Muhlenberg County, Kentucky...A 1955 version recorded by Tennessee Ernie Ford reached number one in the Billboard charts."" (Wikipedia)","Tennessee Ernie Ford, vocal & snapping",,,1955,Capitol,"Ford Favorites, Capitol T 841",,,,,Ford Favorites,SixteenTons,@WikiSixteenTons@WikiTennesseeErnieFord@WikiFordFavorites
,,,,,,,,,,,,,,,,,6254,,36.73,-80.73,Appalachia,18349,"Carroll Cty, VA [Recorded in New York City]",AppalachiaEA1920s,,,0:04:43,,Sinking of the Titanic,Topical song; historical song; folk,Song about the sinking of the Titanic.,"Ernest ""Pop"" Stoneman, vocal, autoharp & harmonica",,,1924,Okeh,"The Face That Never Returned / The Titanic, Okeh 40288",,,,,The Face That Never Returned / The Titanic,SinkingoftheTitanic,@WikiErnestStoneman@Okeh1925TheTitanic
,,,,,,,,,,,,,,,,,6255,,36.67,-82.40,Appalachia,18349,"Maces Spring, VA [Recorded in Camden, NJ]",AppalachiaEA1920s,,,0:03:15,,Wildwood Flower,Folk,"""""Wildwood Flower"" (or ""The Wildwood Flower"") is an American song, best known through performances and recordings by the Carter Family...Although originally a parlor song, the song had undergone the folk process by the time the Carter Family recorded it."" (Wikipedia)","Carter Family: Sara Carter, vocal; Maybelle Carter, steel guitar & vocal; A.P. Carter, vocal",,,1928,Victor,"Wildwood Flower / Forsaken Love, Victor V-40000",,,,,Wildwood Flower / Forsaken Love,WildwoodFlower,@WikiWildwoodFlower@WikiCarterFamily@Victor1929WildwoodFlower
,,,,,,,,,,,,,,,,,6256,,35.59,-82.55,Piedmont White,62437,"Asheville, NC",PiedmontEA1920s,,,3:24,,Blue Yodel (T for Texas),Country,,Jimmie Rodgers ,,,1927,Victor,"Blue Yodel/Away Out on the Mountain, Victor 21142",,,,,,TforTexas,
,,,,,,,,,,,,,,,,,6266,,40.71,-74.00,Ashkenazi New York Jews,17610,"New York, NY",NewYorkJA1920s,,,0:03:11,,Whoopee,Yiddish theater; Yiddish popular music,"""Sholom Secunda was an American composer of Ukrainian-Jewish descent...Along with Abraham Ellstein, Joseph Rumshinsky, and Alexander Olshanetsky, he was one of the ""big four"" composers of his era in New York City's Second Avenue National Theater (Yiddish theatre) scene in the Yiddish Theater District."" (Wikipedia) ""Pesach ""Peishachke"" Burstein was a Polish-born American comedian, singer, coupletist, and director of Yiddish vaudeville/theater."" (Wikipedia)","Pesach Burstein, vocal",,,1929,Columbia,"From Avenue A To The Great White Way, Columbia/Legacy C2K 86323",,,,,From Avenue A To The Great White Way,Whoopee,@Columbia2002FromAvenueAToTheGreatWhiteWay@YGReissues@WikiPesachBurstein@WikiSholomSecunda
3461,40.71,-74.01,North America,United States,Euro/African Diasporas,,,,,,,,,,,,6267,,40.71,-74.00,Ashkenazi New York Jews,17610,"New York, NY",NewYorkJA1920s,,,0:03:38,,Nit Mehr ve a Traum (Life is but a Dream),Yiddish theater; Yiddish popular music,Anna Hoffman was a major star of New York Yiddish musical comedy scene of the 1920s. (Greenbaum),"Anna Hoffman, vocal",,,1920,Victor,"Nit Mehr ve a Traum (Life is Only a Dream), Victor 72776-B",,,,,Nit Mehr ve a Traum (Life is Only a Dream),NitMehrveaTraum(LifeisbutaDream),@Victor1920NitMehrVeATraum_1@Victor1920NitMehrVeATraum_2@Greenbaum2017AnnaHoffman@RSAAnnaHoffman
3463,40.71,-74.01,North America,United States,Euro/African Diasporas,,,,,,,,,,,,6268,,40.71,-74.00,Ashkenazi New York Jews,17610,"New York, NY",NewYorkJA1920s,,,,,Dus Meshigene Lied (The Crazy Song),Yiddish theater; Yiddish popular music,,Rubin Goldberg & Co.,,,1928,Brunswick,"Moishe Koift A Radio / Dus Meshigene Lied, Brunswick 67132 ",,,,,Moishe Koift A Radio / Dus Meshigene Lied,DusMeshigeneLied(TheCrazySong),@RSADusMeshigeneLied@BULDosMeshugeneLied
,,,,,,,,,,,,,,,,,6269,,40.71,-74.00,Ashkenazi New York Jews,17610,"New York, NY",NewYorkJA1940s,,,0:02:51,,A Chasene in Brownsville,Yiddish theater; Yiddish popular music,"""Leo Fuchs was a Polish-born American actor. Fuchs performed in many Yiddish and English plays and movies throughout the mid-twentieth century, and was famed as a comic, a dancer, and a coupletist. He wrote much of his own material and toured widely."" (Wikipedia)","Leo Fuchs, vocal; accompanied by Sam Medoff & orchestra",,,1946,Banner,"Ich Will A Veib / A Chasene In Brownsville, Banner B-2026",,,,,Ich Will A Veib / A Chasene In Brownsville,AChaseneinBrownsville,@WikiLeoFuchs@Banner1946AChaseneInBrownsville_1@Banner1946AChaseneInBrownsville_2
